edge_id,families,example_items,rule_labels,gold_recommendations,gold_exclusions,kimi-k2.5_hard_detected,kimi-k2.5_soft_detected,kimi-k2.5_direction_correct,kimi-k2.5_mean_jsd,deepseek-r1_hard_detected,deepseek-r1_soft_detected,deepseek-r1_direction_correct,deepseek-r1_mean_jsd,gemma-4-31b-it_hard_detected,gemma-4-31b-it_soft_detected,gemma-4-31b-it_direction_correct,gemma-4-31b-it_mean_jsd,qwen3-next-80b-instruct_hard_detected,qwen3-next-80b-instruct_soft_detected,qwen3-next-80b-instruct_direction_correct,qwen3-next-80b-instruct_mean_jsd,mistral-small-24b_hard_detected,mistral-small-24b_soft_detected,mistral-small-24b_direction_correct,mistral-small-24b_mean_jsd,llama-3.1-8b_hard_detected,llama-3.1-8b_soft_detected,llama-3.1-8b_direction_correct,llama-3.1-8b_mean_jsd
S14,glottic_cT3,B1-P1,Focal TC inner cortex (TREATMENT-CONDITIONAL),"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,False,False,True,0.061918,False,False,True,0.039902,False,False,False,0.07076,False,False,True,0.052502,False,False,True,0.048541,False,False,True,0.0
S15R,cT4a_selected,F1-P2,Magic plane crossing → OPHL-I/II blocked,"concurrent_crt, nonsurgical_lp, total_laryngectomy","ophl_type_i, ophl_type_ii, tlm",False,False,True,0.039514,False,False,False,0.065587,False,False,True,0.05795,False,False,True,0.055249,False,False,True,0.034531,False,False,True,0.003183
S16R,glottic_cT3,B1-P8,Bilateral arytenoid → CI ALL conservative surgery (S16R),"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,False,True,False,0.341491,False,True,True,0.162171,False,False,True,0.110854,False,True,True,0.178418,False,True,True,0.100089,False,False,True,0.072609
S17R,glottic_cT3,B1-P9,Subglottic >10mm + CAJ invasion → CI OPHL-II (S17R),"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_iii, surgical_lp","ophl_type_ii, tlm",False,True,False,0.397123,False,True,True,0.313458,False,True,True,0.275092,False,True,True,0.235088,False,True,True,0.1506,False,False,True,0.02368
S18R,glottic_cT3,B1-P9,Subglottic >10mm + CAJ invasion → CI OPHL-II (S17R),"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_iii, surgical_lp","ophl_type_ii, tlm",False,True,False,0.397123,False,True,True,0.313458,False,True,True,0.275092,False,True,True,0.235088,False,True,True,0.1506,False,False,True,0.02368
S19R,hypopharyngeal; pretreatment_function,D1-P2; D1-P3; J1-P1; J1-P2; J1-P3; J1-P5,Add aspiration pneumonia → absolute CI non-surgical | Add feeding tube | Add tracheostomy | Aspiration pneumonia → absolute CI non-surgical | Tracheostomy + feeding tube + aspiration → convergent CIs | Tracheostomy required → relative CI,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",,False,False,True,0.074563,False,True,True,0.069871,False,True,True,0.038493,False,False,False,0.091887,False,True,False,0.061814,False,False,True,0.071734
S20R,pretreatment_function,J1-P4,Add significant subglottic + extensive cricoid,"concurrent_crt, nonsurgical_lp, total_laryngectomy",,False,True,True,0.118816,False,True,False,0.25461,False,False,True,0.03338,False,False,False,0.041913,False,False,False,0.06365,False,True,True,0.14581
S21,pretreatment_function,J1-NULL,"Add age 72, fit — should NOT change","concurrent_crt, ict_rt, nonsurgical_lp",total_laryngectomy,False,False,False,0.106419,False,False,False,0.06495,False,False,True,0.053288,False,False,False,0.043616,False,False,False,0.0368,False,False,True,0.115995
S22,glottic_cT2,A1-P1,Laryngeal exposure insufficient,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_alone, surgical_lp",tlm,False,True,False,0.277165,False,False,True,0.167319,False,True,False,0.39846,False,False,True,0.043209,False,False,True,0.084988,False,False,True,0.081333
S23R,glottic_cT2; glottic_cT3,A1-P2; A1-P3; A2-P3,Add unfavorable cT2 features without fixation (SA2) | Vocal cord fixed → upstages to cT3 | Vocal cord fixed → upstages to cT3 (STAGING PROPAGATION),"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp, tlm",total_laryngectomy,False,True,True,0.246303,False,True,True,0.18027,False,True,True,0.249178,False,True,True,0.143822,False,True,True,0.136495,False,True,True,0.196961
S24R,cT4a_selected; supraglottic_cT3,C1-P4; F1-P4,N stage → cN2 | N2 → relative CI partial laryngectomy,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",tlm,False,False,True,0.12493,False,False,True,0.085146,False,False,True,0.063969,False,False,True,0.036177,False,False,True,0.093967,False,False,True,0.03098
S27,glottic_cT3,B1-NULL2; B1-P1,Focal TC inner cortex (TREATMENT-CONDITIONAL) | Focal TC inner cortex — CRT should NOT be blocked,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm","tlm, total_laryngectomy",False,False,True,0.08998,False,False,True,0.070489,False,False,False,0.082007,False,False,True,0.104152,False,False,True,0.061172,False,False,True,0.179996
S28,glottic_cT3,A1-P2; A2-P3; B1-P1,Focal TC inner cortex (TREATMENT-CONDITIONAL) | Vocal cord fixed → upstages to cT3 | Vocal cord fixed → upstages to cT3 (STAGING PROPAGATION),"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm","tlm, total_laryngectomy",False,True,True,0.213476,False,True,True,0.170747,False,True,True,0.211482,False,True,True,0.132558,False,True,True,0.12468,False,True,True,0.216708
S30,post_ict_response,H1-P1,PR ≥50% — shifts from RT alone to CRT,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",False,True,True,0.315486,False,False,True,0.141728,False,True,True,0.315955,False,False,False,0.02368,False,False,True,0.063085,False,False,True,0.091499
S31R,post_ict_response,H1-P1,PR ≥50% — shifts from RT alone to CRT,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",False,True,True,0.315486,False,False,True,0.141728,False,True,True,0.315955,False,False,False,0.02368,False,False,True,0.063085,False,False,True,0.091499
S38R,cT4a_selected,F1-P1,Extralaryngeal → significant: LP collapses,total_laryngectomy,tlm,False,False,False,0.096595,False,True,False,0.276826,False,False,True,0.036771,False,True,False,0.142751,False,False,True,0.161461,False,False,True,0.072145
S39R,cT4a_selected; glottic_cT3; post_ict_response; pretreatment_function,B1-P8; F1-P1; F1-P3; H2-P2; J1-P5,Baseline laryngeal function → dysfunctional | Bilateral arytenoid → CI ALL conservative surgery (S16R) | Extralaryngeal → significant: LP collapses | Tracheostomy + feeding tube + aspiration → convergent CIs,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,False,True,True,0.2167,False,True,True,0.171877,False,False,True,0.080312,False,True,True,0.185488,False,False,True,0.095926,False,False,True,0.091616
S40R,glottic_cT3,B1-P2,Outer cortex → cT4a (STAGING PROPAGATION),"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,False,True,False,0.270095,False,True,True,0.073057,False,False,True,0.185098,False,True,True,0.234454,False,True,True,0.099085,False,False,True,0.040784
S41R,glottic_cT3,B1-P2,Outer cortex → cT4a (STAGING PROPAGATION),"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,False,True,False,0.270095,False,True,True,0.073057,False,False,True,0.185098,False,True,True,0.234454,False,True,True,0.099085,False,False,True,0.040784
S42R,cT4a_selected; glottic_cT3,B1-P8; F1-P3,Baseline laryngeal function → dysfunctional | Bilateral arytenoid → CI ALL conservative surgery (S16R),"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,False,True,True,0.283103,False,True,True,0.13039,False,False,True,0.116217,False,False,True,0.148734,False,False,True,0.088196,False,False,True,0.064871
S43,cT4a_selected; hypopharyngeal; post_ict_response; supraglottic_cT3,C1-P5; D1-P1; F1-P5; H2-P3,Site → glottic (SITE CROSSOVER) | Site → hypopharyngeal | Site → hypopharyngeal (SITE-CONDITIONAL),"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, total_laryngectomy",tlm,False,True,True,0.10642,False,True,True,0.071925,False,False,True,0.051111,False,False,True,0.083217,False,False,True,0.050756,False,False,True,0.047959
S45,glottic_cT3,B1-P2,Outer cortex → cT4a (STAGING PROPAGATION),"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,False,True,False,0.270095,False,True,True,0.073057,False,False,True,0.185098,False,True,True,0.234454,False,True,True,0.099085,False,False,True,0.040784
S46,cT4a_selected; glottic_cT3,B1-P2; F1-P4,N stage → cN2 | Outer cortex → cT4a (STAGING PROPAGATION),"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,False,True,True,0.174635,False,False,False,0.065117,False,False,True,0.115136,False,False,True,0.092714,False,False,True,0.09447,False,False,True,0.042592
S49R,glottic_cT3,B1-P2,Outer cortex → cT4a (STAGING PROPAGATION),"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,False,True,False,0.270095,False,True,True,0.073057,False,False,True,0.185098,False,True,True,0.234454,False,True,True,0.099085,False,False,True,0.040784
S4R,glottic_cT3,A1-P2; A2-P3,Vocal cord fixed → upstages to cT3 | Vocal cord fixed → upstages to cT3 (STAGING PROPAGATION),"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",total_laryngectomy,False,True,True,0.295085,False,True,True,0.223085,False,True,True,0.295915,False,True,True,0.176225,False,True,True,0.159821,False,True,True,0.216708
S52R,cisplatin_eligibility,G1-ABS01; G1-ABS02; G1-ABS03; G1-ABS04; G1-ABS05; G1-ABS06; G1-ABS07; G1-ABS08; G1-ABS09; G1-ABS10; G1-ECOG-COM; G1-ECOG-TUM,CD4 <200/AIDS absolute CI | Child-Pugh B/C absolute CI | CrCl <50 absolute CI | ECOG 2 comorbidity-driven → cisplatin ABSOLUTE CI (SOURCE-CONDITIONAL) | ECOG 2 tumor-driven → cisplatin STILL OK (SOURCE-CONDITIONAL) | Grade >2 bone marrow absolute CI | Grade ≥2 neuropathy absolute CI | NYHA III-IV / LVEF ≤50 absolute CI | Platinum hypersensitivity absolute CI | Severe psychiatric disorder absolute CI | Uncontrolled HBV absolute CI | Uncontrolled insulin-dependent DM absolute CI,"carboplatin_5fu, cetuximab_concurrent, cisplatin_high_dose, nonsurgical_lp",cisplatin_high_dose,False,True,True,0.311392,True,True,True,0.344696,False,False,True,0.163913,False,True,True,0.267781,False,True,True,0.283275,False,False,True,0.09841
S55R,post_ict_response,H1-P1,PR ≥50% — shifts from RT alone to CRT,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",False,True,True,0.315486,False,False,True,0.141728,False,True,True,0.315955,False,False,False,0.02368,False,False,True,0.063085,False,False,True,0.091499
S5R,glottic_cT2; glottic_cT3,A1-P1; A2-P2; B1-P6,Laryngeal exposure insufficient,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp",tlm,False,True,True,0.19191,False,False,True,0.147808,False,True,False,0.271385,False,False,True,0.11164,False,False,True,0.121547,False,False,True,0.058802
S67,cisplatin_eligibility,G1-ABS11,Severe comorbidity burden → unfit for chemo (S67),"nonsurgical_lp, rt_accelerated","carboplatin_5fu, cetuximab_concurrent, cisplatin_high_dose, concurrent_crt, ict_rt",False,True,True,0.200369,False,True,True,0.185803,False,False,True,0.194447,False,True,True,0.167909,False,True,False,0.175523,False,True,False,0.270105
S68R,cisplatin_eligibility,G1-ABS01; G1-ABS02; G1-ABS03; G1-ABS04; G1-ABS05; G1-ABS06; G1-ABS07; G1-ABS08; G1-ABS09; G1-ABS10; G1-ECOG-COM,CD4 <200/AIDS absolute CI | Child-Pugh B/C absolute CI | CrCl <50 absolute CI | ECOG 2 comorbidity-driven → cisplatin ABSOLUTE CI (SOURCE-CONDITIONAL) | Grade >2 bone marrow absolute CI | Grade ≥2 neuropathy absolute CI | NYHA III-IV / LVEF ≤50 absolute CI | Platinum hypersensitivity absolute CI | Severe psychiatric disorder absolute CI | Uncontrolled HBV absolute CI | Uncontrolled insulin-dependent DM absolute CI,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,False,True,True,0.312515,True,True,True,0.354424,False,False,True,0.168875,False,True,True,0.267781,False,True,True,0.291141,False,False,True,0.100327
S69R,cisplatin_eligibility; elderly_frail,G1-GREY-S70; G1-REL01; G1-REL02; G1-REL03; G1-REL04; I1-NULL2,"2 relative CIs — grey zone (ACCUMULATION-NON-PATTERN) | CD4 200-350 = RELATIVE CI only, not absolute | CrCl 50-60 = RELATIVE CI only, not absolute | CrCl 55 — only affects chemo choice | Grade 1 hearing = RELATIVE CI only | Impaired social support = RELATIVE CI only","cisplatin_high_dose, concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",,False,True,False,0.314655,False,True,False,0.280361,False,False,True,0.133133,False,False,True,0.271196,False,True,False,0.195074,False,False,True,0.057138
S6R,elderly_frail; glottic_cT2; glottic_cT3,A1-NULL; A2-NULL; B1-NULL1; I1-NULL1,"Age 73, fit | Age 73, fit — should NOT change | Age 74, fit — should NOT change options | Age 82 but STILL fit → should NOT change","concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp, tlm","concurrent_crt, total_laryngectomy",False,False,False,0.110947,False,False,True,0.054998,False,False,True,0.092626,False,False,True,0.037481,False,False,True,0.051155,False,False,True,0.044266
S70,cisplatin_eligibility,G1-GREY-S70,2 relative CIs — grey zone (ACCUMULATION-NON-PATTERN),cisplatin_high_dose,,True,True,False,0.693147,True,True,False,0.693147,False,False,False,0.281066,True,True,False,0.693147,True,True,False,0.3672,False,False,False,0.020223
S72R,cisplatin_eligibility,G1-ABS01; G1-ABS02; G1-ABS03; G1-ABS04; G1-ABS05; G1-ABS06; G1-ABS07; G1-ABS08; G1-ABS09; G1-ABS10; G1-ECOG-COM,CD4 <200/AIDS absolute CI | Child-Pugh B/C absolute CI | CrCl <50 absolute CI | ECOG 2 comorbidity-driven → cisplatin ABSOLUTE CI (SOURCE-CONDITIONAL) | Grade >2 bone marrow absolute CI | Grade ≥2 neuropathy absolute CI | NYHA III-IV / LVEF ≤50 absolute CI | Platinum hypersensitivity absolute CI | Severe psychiatric disorder absolute CI | Uncontrolled HBV absolute CI | Uncontrolled insulin-dependent DM absolute CI,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,False,True,True,0.312515,True,True,True,0.354424,False,False,True,0.168875,False,True,True,0.267781,False,True,True,0.291141,False,False,True,0.100327
S73R,cisplatin_eligibility,G1-ABS11,Severe comorbidity burden → unfit for chemo (S67),"nonsurgical_lp, rt_accelerated","carboplatin_5fu, cetuximab_concurrent, cisplatin_high_dose, concurrent_crt, ict_rt",False,True,True,0.200369,False,True,True,0.185803,False,False,True,0.194447,False,True,True,0.167909,False,True,False,0.175523,False,True,False,0.270105
S74R,pretreatment_function,J1-P6; J1-P7,DNA repair disorder → absolute CI non-surgical LP (S74R) | Previous neck RT → relative CI non-surgical LP (S74R),total_laryngectomy,,False,True,True,0.086765,False,True,True,0.146696,False,False,False,0.044966,False,False,True,0.062665,False,False,True,0.022518,False,True,False,0.117403
S75R,elderly_frail,I1-P3,Add neurodegenerative disease,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,False,False,False,0.07471,False,False,False,0.145745,False,False,True,0.02368,False,False,True,0.080755,False,False,True,0.113126,False,False,True,0.085802
S77R,cisplatin_eligibility,G1-ECOG-COM; G1-ECOG-TUM,ECOG 2 comorbidity-driven → cisplatin ABSOLUTE CI (SOURCE-CONDITIONAL) | ECOG 2 tumor-driven → cisplatin STILL OK (SOURCE-CONDITIONAL),"carboplatin_5fu, cetuximab_concurrent, cisplatin_high_dose, nonsurgical_lp",cisplatin_high_dose,False,True,True,0.29332,False,True,True,0.244025,False,True,False,0.26019,False,True,True,0.25953,False,True,True,0.286989,False,False,True,0.112768
S7R,glottic_cT2; glottic_cT3,A2-P1; B1-P1; B1-P3; B1-P4; B1-P5; B1-P7,AC difficult exposure → TLM blocked | AC difficult exposure → TLM relative CI | Focal TC inner cortex (TREATMENT-CONDITIONAL) | Massive PES abutting membrane → TLM blocked | Posterior paraglottic space → TLM blocked | Posterior subglottic <10mm → TLM blocked,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp",tlm,False,False,True,0.124882,False,False,True,0.058389,False,False,True,0.077736,False,False,True,0.04274,False,False,True,0.057031,False,False,True,0.04292
S8,glottic_cT2,A1-P3; A2-P1,AC difficult exposure → TLM relative CI | Add unfavorable cT2 features without fixation (SA2),"nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp, tlm","tlm, total_laryngectomy",False,False,True,0.091082,False,False,True,0.052163,False,False,True,0.092329,False,False,True,0.045905,False,False,True,0.062454,False,False,True,0.072868
S80,cT4a_selected; cT4a_unselected; elderly_frail; glottic_cT2; glottic_cT3; hypopharyngeal; pretreatment_function,A1-NULL; A2-NULL; B1-NULL1; D1-NULL; E1-NULL; F1-NULL; I1-NULL1; J1-NULL,"Add age 72, fit — should NOT change | Add age 75, fit — TL still indicated | Age 73, fit | Age 73, fit — should NOT change | Age 74, fit | Age 74, fit — should NOT change options | Age 82 but STILL fit → should NOT change","concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp, tlm, total_laryngectomy","concurrent_crt, tlm, total_laryngectomy",False,False,False,0.098478,False,False,True,0.05151,False,False,True,0.075083,False,False,True,0.05068,False,False,True,0.045895,False,False,True,0.058643
S84,elderly_frail,I1-P1,"Frail → OPHL relative CI, adapted approach","concurrent_crt, nonsurgical_lp, rt_alone, total_laryngectomy",,False,True,False,0.261927,False,True,False,0.19629,True,True,False,0.420178,False,True,False,0.10087,False,True,False,0.11972,False,False,True,0.020314
S88,elderly_frail,I1-P1; I1-P2,"Frail + cT4a + precludes OPHL/chemo → TL preferred | Frail → OPHL relative CI, adapted approach","concurrent_crt, nonsurgical_lp, rt_alone, total_laryngectomy",,False,True,True,0.288541,False,True,True,0.212727,True,True,False,0.330717,False,False,True,0.0838,False,False,True,0.158953,False,False,True,0.066215
S89,elderly_frail,I1-P2,Frail + cT4a + precludes OPHL/chemo → TL preferred,total_laryngectomy,,False,True,True,0.394997,False,True,True,0.278478,False,True,False,0.151796,False,False,True,0.01552,False,True,True,0.276651,False,False,True,0.158018
S9R,glottic_cT3,C1-P3,Change site to glottic + keep TC erosion (SITE CROSSOVER),"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,False,True,True,0.194158,False,True,True,0.094113,False,True,True,0.098093,False,True,False,0.081276,False,True,True,0.094065,False,True,False,0.160828
SA2,glottic_cT2,A1-P3,Add unfavorable cT2 features without fixation (SA2),"nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp, tlm",total_laryngectomy,False,False,False,0.140608,False,False,True,0.073233,False,False,True,0.093388,False,False,True,0.054714,False,False,True,0.075848,False,False,True,0.068602
SA6,post_ict_response,H1-P2,PR <50% — GREY ZONE (SA6),"concurrent_crt, nonsurgical_lp, total_laryngectomy",,True,True,False,0.431416,True,True,False,0.418745,False,True,True,0.262019,False,False,True,0.049281,False,False,True,0.084386,False,True,True,0.170252
