edge_id,item_id,baseline_id,family,type,label,variables_changed,expected_recommendations,expected_excluded,grey_zone_statement
S7R,A2-P1,A2-BASE,glottic_cT2,flip,AC difficult exposure → TLM relative CI,anterior_commissure: present_good_exposure -> present_difficult_exposure,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp",tlm,
S8,A2-P1,A2-BASE,glottic_cT2,flip,AC difficult exposure → TLM relative CI,anterior_commissure: present_good_exposure -> present_difficult_exposure,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp",tlm,
S5R,A2-P2,A2-BASE,glottic_cT2,flip,Laryngeal exposure insufficient,laryngeal_exposure: adequate -> insufficient,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp",tlm,
S23R,A2-P3,A2-BASE,glottic_cT3,escalate,Vocal cord fixed → upstages to cT3,vocal_cord_mobility: partially_impaired -> fixed; t_stage: cT2 -> cT3,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",,
S4R,A2-P3,A2-BASE,glottic_cT3,escalate,Vocal cord fixed → upstages to cT3,vocal_cord_mobility: partially_impaired -> fixed; t_stage: cT2 -> cT3,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",,
S28,A2-P3,A2-BASE,glottic_cT3,escalate,Vocal cord fixed → upstages to cT3,vocal_cord_mobility: partially_impaired -> fixed; t_stage: cT2 -> cT3,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",,
S6R,A2-NULL,A2-BASE,glottic_cT2,null,"Age 73, fit",age: under_70 -> 70_plus,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp, tlm",total_laryngectomy,
S80,A2-NULL,A2-BASE,glottic_cT2,null,"Age 73, fit",age: under_70 -> 70_plus,"nonsurgical_lp, ophl_any, ophl_type_ii, rt_accelerated, rt_alone, surgical_lp, tlm",total_laryngectomy,
S7R,B1-P1,B1-BASE,glottic_cT3,flip,Focal TC inner cortex (TREATMENT-CONDITIONAL),thyroid_cartilage_inner_cortex: none -> focal,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S14,B1-P1,B1-BASE,glottic_cT3,flip,Focal TC inner cortex (TREATMENT-CONDITIONAL),thyroid_cartilage_inner_cortex: none -> focal,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S27,B1-P1,B1-BASE,glottic_cT3,flip,Focal TC inner cortex (TREATMENT-CONDITIONAL),thyroid_cartilage_inner_cortex: none -> focal,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S28,B1-P1,B1-BASE,glottic_cT3,flip,Focal TC inner cortex (TREATMENT-CONDITIONAL),thyroid_cartilage_inner_cortex: none -> focal,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S45,B1-P2,B1-BASE,glottic_cT3,escalate,Outer cortex → cT4a (STAGING PROPAGATION),thyroid_cartilage_outer_cortex: false -> true; extralaryngeal_extension: none -> minimal_anterior; t_stage: cT3 -> cT4a,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S46,B1-P2,B1-BASE,glottic_cT3,escalate,Outer cortex → cT4a (STAGING PROPAGATION),thyroid_cartilage_outer_cortex: false -> true; extralaryngeal_extension: none -> minimal_anterior; t_stage: cT3 -> cT4a,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S40R,B1-P2,B1-BASE,glottic_cT3,escalate,Outer cortex → cT4a (STAGING PROPAGATION),thyroid_cartilage_outer_cortex: false -> true; extralaryngeal_extension: none -> minimal_anterior; t_stage: cT3 -> cT4a,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S41R,B1-P2,B1-BASE,glottic_cT3,escalate,Outer cortex → cT4a (STAGING PROPAGATION),thyroid_cartilage_outer_cortex: false -> true; extralaryngeal_extension: none -> minimal_anterior; t_stage: cT3 -> cT4a,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S49R,B1-P2,B1-BASE,glottic_cT3,escalate,Outer cortex → cT4a (STAGING PROPAGATION),thyroid_cartilage_outer_cortex: false -> true; extralaryngeal_extension: none -> minimal_anterior; t_stage: cT3 -> cT4a,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S7R,B1-P3,B1-BASE,glottic_cT3,flip,Posterior paraglottic space → TLM blocked,posterior_paraglottic_space: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S7R,B1-P4,B1-BASE,glottic_cT3,flip,Massive PES abutting membrane → TLM blocked,pre_epiglottic_space: none -> massive_abutting_membrane,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S7R,B1-P5,B1-BASE,glottic_cT3,flip,Posterior subglottic <10mm → TLM blocked,subglottic_extension: none -> under_10mm_posterior,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S5R,B1-P6,B1-BASE,glottic_cT3,flip,Laryngeal exposure insufficient,laryngeal_exposure: adequate -> insufficient,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S7R,B1-P7,B1-BASE,glottic_cT3,flip,AC difficult exposure → TLM blocked,anterior_commissure: none -> present_difficult_exposure,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S16R,B1-P8,B1-BASE,glottic_cT3,flip,Bilateral arytenoid → CI ALL conservative surgery (S16R),posterior_laryngeal_involvement: none -> bilateral_arytenoid; arytenoid_mobility: bilateral_mobile -> bilateral_fixed; baseline_laryngeal_function: functional -> dysfunctional,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S39R,B1-P8,B1-BASE,glottic_cT3,flip,Bilateral arytenoid → CI ALL conservative surgery (S16R),posterior_laryngeal_involvement: none -> bilateral_arytenoid; arytenoid_mobility: bilateral_mobile -> bilateral_fixed; baseline_laryngeal_function: functional -> dysfunctional,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S42R,B1-P8,B1-BASE,glottic_cT3,flip,Bilateral arytenoid → CI ALL conservative surgery (S16R),posterior_laryngeal_involvement: none -> bilateral_arytenoid; arytenoid_mobility: bilateral_mobile -> bilateral_fixed; baseline_laryngeal_function: functional -> dysfunctional,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S17R,B1-P9,B1-BASE,glottic_cT3,flip,Subglottic >10mm + CAJ invasion → CI OPHL-II (S17R),subglottic_extension: none -> over_10mm; cricoarytenoid_joint_invasion: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_iii, surgical_lp","ophl_type_ii, tlm",
S18R,B1-P9,B1-BASE,glottic_cT3,flip,Subglottic >10mm + CAJ invasion → CI OPHL-II (S17R),subglottic_extension: none -> over_10mm; cricoarytenoid_joint_invasion: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_iii, surgical_lp","ophl_type_ii, tlm",
S6R,B1-NULL1,B1-BASE,glottic_cT3,null,"Age 73, fit — should NOT change",age: under_70 -> 70_plus; frailty_status: fit -> fit,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",total_laryngectomy,
S80,B1-NULL1,B1-BASE,glottic_cT3,null,"Age 73, fit — should NOT change",age: under_70 -> 70_plus; frailty_status: fit -> fit,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",total_laryngectomy,
S27,B1-NULL2,B1-BASE,glottic_cT3,null,Focal TC inner cortex — CRT should NOT be blocked,thyroid_cartilage_inner_cortex: none -> focal,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, tlm",total_laryngectomy,
S10R,C1-P1,C1-BASE,supraglottic_cT3,escalate,PES pronounced → OPHL type I preferred,pre_epiglottic_space: limited -> massive_not_abutting_membrane,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_i, surgical_lp",tlm,
S10R,C1-P2,C1-BASE,supraglottic_cT3,escalate,PES + TC erosion → OPHL-IIB (SITE-CONDITIONAL),pre_epiglottic_space: limited -> massive_not_abutting_membrane; thyroid_cartilage_erosion: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_iib, surgical_lp",tlm,
S9R,C1-P3,C1-BASE,glottic_cT3,flip,Change site to glottic + keep TC erosion (SITE CROSSOVER),primary_site: supraglottic -> glottic; pre_epiglottic_space: limited -> none; thyroid_cartilage_erosion: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S10R,C1-P3,C1-BASE,glottic_cT3,flip,Change site to glottic + keep TC erosion (SITE CROSSOVER),primary_site: supraglottic -> glottic; pre_epiglottic_space: limited -> none; thyroid_cartilage_erosion: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp",tlm,
S24R,C1-P4,C1-BASE,supraglottic_cT3,flip,N2 → relative CI partial laryngectomy,n_stage: cN1 -> cN2,"concurrent_crt, ict_rt, nonsurgical_lp",tlm,
S12,C1-P5,C1-BASE,supraglottic_cT3,flip,Site → hypopharyngeal (SITE-CONDITIONAL),primary_site: supraglottic -> hypopharyngeal; pre_epiglottic_space: limited -> none,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",tlm,
S43,C1-P5,C1-BASE,supraglottic_cT3,flip,Site → hypopharyngeal (SITE-CONDITIONAL),primary_site: supraglottic -> hypopharyngeal; pre_epiglottic_space: limited -> none,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",tlm,
S112,C1-P5,C1-BASE,supraglottic_cT3,flip,Site → hypopharyngeal (SITE-CONDITIONAL),primary_site: supraglottic -> hypopharyngeal; pre_epiglottic_space: limited -> none,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",tlm,
S12,D1-P1,D1-BASE,hypopharyngeal,flip,Site → glottic (SITE CROSSOVER),primary_site: hypopharyngeal -> glottic,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, total_laryngectomy",,
S43,D1-P1,D1-BASE,hypopharyngeal,flip,Site → glottic (SITE CROSSOVER),primary_site: hypopharyngeal -> glottic,"concurrent_crt, ict_rt, nonsurgical_lp, ophl_any, ophl_type_ii, surgical_lp, total_laryngectomy",,
S19R,D1-P2,D1-BASE,hypopharyngeal,escalate,Add aspiration pneumonia → absolute CI non-surgical,swallowing_status: impaired_no_aspiration -> recurrent_pneumonia,total_laryngectomy,,
S19R,D1-P3,D1-BASE,hypopharyngeal,escalate,Add tracheostomy,pretreatment_tracheostomy: false -> true; airway_obstruction: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",,
S115,D1-P3,D1-BASE,hypopharyngeal,escalate,Add tracheostomy,pretreatment_tracheostomy: false -> true; airway_obstruction: false -> true,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",,
S80,D1-NULL,D1-BASE,hypopharyngeal,null,"Age 73, fit",age: under_70 -> 70_plus,"concurrent_crt, ict_rt, nonsurgical_lp, total_laryngectomy",tlm,
S80,E1-NULL,E1-BASE,cT4a_unselected,null,"Add age 75, fit — TL still indicated",age: under_70 -> 70_plus,total_laryngectomy,tlm,
S38R,F1-P1,F1-BASE,cT4a_selected,escalate,Extralaryngeal → significant: LP collapses,extralaryngeal_extension: minimal_anterior -> significant,total_laryngectomy,tlm,
S39R,F1-P1,F1-BASE,cT4a_selected,escalate,Extralaryngeal → significant: LP collapses,extralaryngeal_extension: minimal_anterior -> significant,total_laryngectomy,tlm,
S15R,F1-P2,F1-BASE,cT4a_selected,flip,Magic plane crossing → OPHL-I/II blocked,magic_plane_crossing: false -> true,"concurrent_crt, nonsurgical_lp, total_laryngectomy","ophl_type_i, ophl_type_ii, tlm",
S39R,F1-P3,F1-BASE,cT4a_selected,flip,Baseline laryngeal function → dysfunctional,baseline_laryngeal_function: functional -> dysfunctional,total_laryngectomy,,
S42R,F1-P3,F1-BASE,cT4a_selected,flip,Baseline laryngeal function → dysfunctional,baseline_laryngeal_function: functional -> dysfunctional,total_laryngectomy,,
S24R,F1-P4,F1-BASE,cT4a_selected,flip,N stage → cN2,n_stage: cN0 -> cN2,"concurrent_crt, nonsurgical_lp, total_laryngectomy",,
S46,F1-P4,F1-BASE,cT4a_selected,flip,N stage → cN2,n_stage: cN0 -> cN2,"concurrent_crt, nonsurgical_lp, total_laryngectomy",,
S12,F1-P5,F1-BASE,cT4a_selected,flip,Site → hypopharyngeal,primary_site: glottic -> hypopharyngeal,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S43,F1-P5,F1-BASE,cT4a_selected,flip,Site → hypopharyngeal,primary_site: glottic -> hypopharyngeal,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S47R,F1-GREY1,F1-BASE,cT4a_selected,grey_zone,Post-OPHL: adjuvant RT for pT4aN0 neg margins no PNI/LVI?,,,,S47R
S35R,F1-GREY1,F1-BASE,cT4a_selected,grey_zone,Post-OPHL: adjuvant RT for pT4aN0 neg margins no PNI/LVI?,,,,S47R
S80,F1-NULL,F1-BASE,cT4a_selected,null,"Age 74, fit",age: under_70 -> 70_plus,"concurrent_crt, nonsurgical_lp, total_laryngectomy",tlm,
S68R,G1-ABS01,G1-BASE,cisplatin_eligibility,flip,CrCl <50 absolute CI,renal_function: normal -> under_50_ml_min,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ABS01,G1-BASE,cisplatin_eligibility,flip,CrCl <50 absolute CI,renal_function: normal -> under_50_ml_min,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ABS01,G1-BASE,cisplatin_eligibility,flip,CrCl <50 absolute CI,renal_function: normal -> under_50_ml_min,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S68R,G1-ABS02,G1-BASE,cisplatin_eligibility,flip,NYHA III-IV / LVEF ≤50 absolute CI,cardiac_function: normal -> nyha_III_IV,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ABS02,G1-BASE,cisplatin_eligibility,flip,NYHA III-IV / LVEF ≤50 absolute CI,cardiac_function: normal -> nyha_III_IV,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ABS02,G1-BASE,cisplatin_eligibility,flip,NYHA III-IV / LVEF ≤50 absolute CI,cardiac_function: normal -> nyha_III_IV,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S68R,G1-ABS03,G1-BASE,cisplatin_eligibility,flip,Child-Pugh B/C absolute CI,liver_function: normal -> child_pugh_B_C,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ABS03,G1-BASE,cisplatin_eligibility,flip,Child-Pugh B/C absolute CI,liver_function: normal -> child_pugh_B_C,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ABS03,G1-BASE,cisplatin_eligibility,flip,Child-Pugh B/C absolute CI,liver_function: normal -> child_pugh_B_C,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S68R,G1-ABS04,G1-BASE,cisplatin_eligibility,flip,Grade ≥2 neuropathy absolute CI,neuropathy: none -> grade_2_plus,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ABS04,G1-BASE,cisplatin_eligibility,flip,Grade ≥2 neuropathy absolute CI,neuropathy: none -> grade_2_plus,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ABS04,G1-BASE,cisplatin_eligibility,flip,Grade ≥2 neuropathy absolute CI,neuropathy: none -> grade_2_plus,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S68R,G1-ABS05,G1-BASE,cisplatin_eligibility,flip,CD4 <200/AIDS absolute CI,hiv_status: negative -> cd4_under_200_or_aids,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ABS05,G1-BASE,cisplatin_eligibility,flip,CD4 <200/AIDS absolute CI,hiv_status: negative -> cd4_under_200_or_aids,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ABS05,G1-BASE,cisplatin_eligibility,flip,CD4 <200/AIDS absolute CI,hiv_status: negative -> cd4_under_200_or_aids,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S68R,G1-ABS06,G1-BASE,cisplatin_eligibility,flip,Uncontrolled HBV absolute CI,hepatitis: negative -> uncontrolled,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ABS06,G1-BASE,cisplatin_eligibility,flip,Uncontrolled HBV absolute CI,hepatitis: negative -> uncontrolled,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ABS06,G1-BASE,cisplatin_eligibility,flip,Uncontrolled HBV absolute CI,hepatitis: negative -> uncontrolled,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S68R,G1-ABS07,G1-BASE,cisplatin_eligibility,flip,Platinum hypersensitivity absolute CI,platinum_hypersensitivity: false -> true,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ABS07,G1-BASE,cisplatin_eligibility,flip,Platinum hypersensitivity absolute CI,platinum_hypersensitivity: false -> true,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ABS07,G1-BASE,cisplatin_eligibility,flip,Platinum hypersensitivity absolute CI,platinum_hypersensitivity: false -> true,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S68R,G1-ABS08,G1-BASE,cisplatin_eligibility,flip,Severe psychiatric disorder absolute CI,psychiatric_disorders: false -> true,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ABS08,G1-BASE,cisplatin_eligibility,flip,Severe psychiatric disorder absolute CI,psychiatric_disorders: false -> true,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ABS08,G1-BASE,cisplatin_eligibility,flip,Severe psychiatric disorder absolute CI,psychiatric_disorders: false -> true,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S68R,G1-ABS09,G1-BASE,cisplatin_eligibility,flip,Uncontrolled insulin-dependent DM absolute CI,diabetes: none -> uncontrolled_insulin_dependent,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ABS09,G1-BASE,cisplatin_eligibility,flip,Uncontrolled insulin-dependent DM absolute CI,diabetes: none -> uncontrolled_insulin_dependent,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ABS09,G1-BASE,cisplatin_eligibility,flip,Uncontrolled insulin-dependent DM absolute CI,diabetes: none -> uncontrolled_insulin_dependent,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S68R,G1-ABS10,G1-BASE,cisplatin_eligibility,flip,Grade >2 bone marrow absolute CI,bone_marrow: normal -> grade_2_plus,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ABS10,G1-BASE,cisplatin_eligibility,flip,Grade >2 bone marrow absolute CI,bone_marrow: normal -> grade_2_plus,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ABS10,G1-BASE,cisplatin_eligibility,flip,Grade >2 bone marrow absolute CI,bone_marrow: normal -> grade_2_plus,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S69R,G1-REL01,G1-BASE,cisplatin_eligibility,flip,"CrCl 50-60 = RELATIVE CI only, not absolute",renal_function: normal -> 50_60_ml_min,cisplatin_high_dose,,
S69R,G1-REL02,G1-BASE,cisplatin_eligibility,flip,Grade 1 hearing = RELATIVE CI only,hearing_status: grade_0 -> grade_1,cisplatin_high_dose,,
S69R,G1-REL03,G1-BASE,cisplatin_eligibility,flip,Impaired social support = RELATIVE CI only,social_support: adequate -> impaired,cisplatin_high_dose,,
S69R,G1-REL04,G1-BASE,cisplatin_eligibility,flip,"CD4 200-350 = RELATIVE CI only, not absolute",hiv_status: negative -> cd4_200_350,cisplatin_high_dose,,
S77R,G1-ECOG-TUM,G1-BASE,cisplatin_eligibility,flip,ECOG 2 tumor-driven → cisplatin STILL OK (SOURCE-CONDITIONAL),ecog_ps: 0 -> 2_tumor_related; ecog_ps_source: null -> tumor_driven,cisplatin_high_dose,,
S52R,G1-ECOG-TUM,G1-BASE,cisplatin_eligibility,flip,ECOG 2 tumor-driven → cisplatin STILL OK (SOURCE-CONDITIONAL),ecog_ps: 0 -> 2_tumor_related; ecog_ps_source: null -> tumor_driven,cisplatin_high_dose,,
S68R,G1-ECOG-COM,G1-BASE,cisplatin_eligibility,flip,ECOG 2 comorbidity-driven → cisplatin ABSOLUTE CI (SOURCE-CONDITIONAL),ecog_ps: 0 -> 2_comorbidity_related; ecog_ps_source: null -> comorbidity_driven; cardiopulmonary_function: good -> impaired,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S77R,G1-ECOG-COM,G1-BASE,cisplatin_eligibility,flip,ECOG 2 comorbidity-driven → cisplatin ABSOLUTE CI (SOURCE-CONDITIONAL),ecog_ps: 0 -> 2_comorbidity_related; ecog_ps_source: null -> comorbidity_driven; cardiopulmonary_function: good -> impaired,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S52R,G1-ECOG-COM,G1-BASE,cisplatin_eligibility,flip,ECOG 2 comorbidity-driven → cisplatin ABSOLUTE CI (SOURCE-CONDITIONAL),ecog_ps: 0 -> 2_comorbidity_related; ecog_ps_source: null -> comorbidity_driven; cardiopulmonary_function: good -> impaired,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S72R,G1-ECOG-COM,G1-BASE,cisplatin_eligibility,flip,ECOG 2 comorbidity-driven → cisplatin ABSOLUTE CI (SOURCE-CONDITIONAL),ecog_ps: 0 -> 2_comorbidity_related; ecog_ps_source: null -> comorbidity_driven; cardiopulmonary_function: good -> impaired,"carboplatin_5fu, cetuximab_concurrent, nonsurgical_lp",cisplatin_high_dose,
S70,G1-GREY-S70,G1-BASE,cisplatin_eligibility,grey_zone,2 relative CIs — grey zone (ACCUMULATION-NON-PATTERN),renal_function: normal -> 50_60_ml_min; hearing_status: grade_0 -> grade_1; cisplatin_relative_ci_count: 0 -> 2_plus,cisplatin_high_dose,,S70
S69R,G1-GREY-S70,G1-BASE,cisplatin_eligibility,grey_zone,2 relative CIs — grey zone (ACCUMULATION-NON-PATTERN),renal_function: normal -> 50_60_ml_min; hearing_status: grade_0 -> grade_1; cisplatin_relative_ci_count: 0 -> 2_plus,cisplatin_high_dose,,S70
S67,G1-ABS11,G1-BASE,cisplatin_eligibility,flip,Severe comorbidity burden → unfit for chemo (S67),comorbidity_burden: none_mild -> severe,"nonsurgical_lp, rt_accelerated","carboplatin_5fu, cetuximab_concurrent, cisplatin_high_dose, concurrent_crt, ict_rt",
S73R,G1-ABS11,G1-BASE,cisplatin_eligibility,flip,Severe comorbidity burden → unfit for chemo (S67),comorbidity_burden: none_mild -> severe,"nonsurgical_lp, rt_accelerated","carboplatin_5fu, cetuximab_concurrent, cisplatin_high_dose, concurrent_crt, ict_rt",
,G1-NULL,G1-BASE,cisplatin_eligibility,null,Controlled T2DM — NOT a CI,diabetes: none -> controlled,cisplatin_high_dose,"carboplatin_5fu, cetuximab_concurrent",
S55R,H1-P1,H1-BASE,post_ict_response,flip,PR ≥50% — shifts from RT alone to CRT,ict_response: complete_response -> partial_response_50plus; vc_remobilization_post_ict: true -> false; vocal_cord_mobility: normal -> partially_impaired,"concurrent_crt, nonsurgical_lp","rt_alone, total_laryngectomy",
