statement_id,kind,number_text,number_start,number_end,section,page_hint,level_of_evidence,consensus_pct,voting_round,meets_80pct_table_threshold,statement_class,graph_candidate,atomic_condition_count,mentioned_treatments,decision_scopes,statement_text
S8,statement,8,8,8,Transoral surgery,3,IV-V,95.7,first,True,relative_contraindication,True,4,tlm,"surgical_lp, larynx_preservation_any",The following extensions are relative contraindications to transoral laser microsurgery in T3 laryngeal cancers: anterior commissure involvement with difficult exposure (LoE: IV); focal cartilage infiltration of the thyroid cartilage (LoE: IV); subglottic extension under 10 mm in the posterior part of the glottis (LoE: IV); and extensive supraglottic tumours with massive infiltration of the pre-epiglottic space (LoE: V).
S9R,statement,9,9,9,Transoral surgery,3,III,95.8,first,True,contextual_selection,True,1,"tlm, ophl_any, nonsurgical_lp","larynx_preservation_any, nonsurgical_lp, surgical_lp","Thyroid cartilage erosion is a contraindication for transoral laser microsurgery in glottic cT3 lesions. In such cases, type II open partial horizontal laryngectomy or non-surgical organ preservation protocols are more appropriate options."
S10R,statement,10,10,10,Transoral surgery,3,IV,100.0,second,True,contextual_selection,True,1,"tlm, tors, ophl_any, nonsurgical_lp","larynx_preservation_any, nonsurgical_lp, surgical_lp","In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered."
S11,statement,11,11,11,Transoral surgery,3,IV,98.4,first,True,contextual_selection,True,1,tlm,"surgical_lp, larynx_preservation_any","Multiple positive superficial margins, one or more positive deep margins, or both after transoral laser microsurgery necessitate additional treatment."
SA4R,additional_statement,4,4,4,Transoral surgery,3,IV,92.7,third,True,recommendation,True,1,tlm,"surgical_lp, larynx_preservation_any","In the case of multiple positive superficial margins, one or more positive deep margins, or both following transoral laser microsurgery, redo surgery is the preferred option unless the areas at risk of bearing microscopic disease cannot be adequately and safely exposed or resected. For instance, when inner laryngeal perichondrium is the site of margin involvement, redo surgery cannot be performed with transoral laser microsurgery."
SA5,additional_statement,5,5,5,Transoral surgery,3,IV,82.8,second,True,non_decisional,False,1,,,A single positive superficial margin does not necessarily call for additional treatment. Follow-up with periodic endoscopic and bioendoscopic evaluation might be indicated.
S12,statement,12,12,12,Transoral surgery,3,IV,96.7,first,True,contextual_selection,True,1,tlm,"surgical_lp, larynx_preservation_any",Transoral laser microsurgery is not indicated as a first-line treatment in locally advanced hypopharyngeal cancer.
S13,statement,13,13,13,Open partial horizontal laryngectomy,4,IV,96.5,first,True,contextual_selection,True,1,ophl_any,"surgical_lp, larynx_preservation_any",The identification of suitable candidates for open partial horizontal laryngectomy should consider the baseline clinical factors and physiological stress that follows the surgical procedure. Good cardiopulmonary and neurological functions and a good performance status are necessary prerequisites.
S14,statement,14,14,14,Open partial horizontal laryngectomy,4,IV,89.4,first,True,contextual_selection,True,1,ophl_any,"surgical_lp, larynx_preservation_any",cT3 laryngeal cancers with involvement of the anterior compartments of the larynx can be treated with open partial horizontal laryngectomy type II with excellent oncological results even if there is focal invasion or the thyroid cartilage.
S15R,statement,15,15,15,Open partial horizontal laryngectomy,4,IV,97.8,second,True,absolute_contraindication,True,1,ophl_any,"surgical_lp, larynx_preservation_any","cT3 laryngeal cancers that cross the magic plane (ie, the virtual paracoronal plane passing through the vocal process of the arytenoid and reaching the thyroid lamina perpendicularly) posteriorly with involvement of the posterior portion of the inferior paraglottic space or causing arytenoid fixation should not be treated with type I or type II open partial horizontal laryngectomy."
S16R,statement,16,16,16,Open partial horizontal laryngectomy,4,IV,98.0,first,True,absolute_contraindication,True,1,surgical_lp,"surgical_lp, larynx_preservation_any",Posterior laryngeal involvement requiring bilateral arytenoid resection is an absolute contraindication to any type of conservative surgery
S17R,statement,17,17,17,Open partial horizontal laryngectomy,4,IV,100.0,first,True,absolute_contraindication,True,1,ophl_any,"surgical_lp, larynx_preservation_any",The following extensions are contraindications for type II open partial horizontal laryngectomy in cT3 laryngeal cancer: inferior laryngeal involvement extending over 10 mm in the subglottis and cricoarytenoid joint invasion.
S18R,statement,18,18,18,Open partial horizontal laryngectomy,4,IV,87.0,second,True,fallback_option,True,1,ophl_any,"surgical_lp, larynx_preservation_any","In centres with great experience, selected patients affected by cT3 laryngeal cancer with anterior subglottic extension over 10 mm could be offered type III open partial horizontal laryngectomy with or without CAU resection, provided that the contralateral CAU is mobile and sensate."
S19R,statement,19,19,19,Radiotherapy and chemotherapy,4,IV,95.2,second,True,relative_contraindication,True,3,nonsurgical_lp,"larynx_preservation_any, nonsurgical_lp","Non-surgical organ preservation treatments are contraindicated in patients with severe pretreatment laryngo-oesophageal dysfunction, which is clinically defined by the following elements: laryngeal penetration or aspiration, or recurrent pneumonia. Relative contraindications are pretreatment tracheostomy or pretreatment feeding tube, particularly regarding the recovery of laryngeal and oesophageal function."
S20R,statement,20,20,20,Radiotherapy and chemotherapy,4,IV,91.7,second,True,relative_contraindication,True,1,nonsurgical_lp,"larynx_preservation_any, nonsurgical_lp",Significant subglottic extension and extensive involvement of the cricoid cartilage are relative contraindications for non-surgical organ preservation treatments.
S21,statement,21,21,21,Radiotherapy and chemotherapy,4,V,88.7,first,True,exception,True,1,nonsurgical_lp,"larynx_preservation_any, nonsurgical_lp",Airway obstruction alone is not a sufficient criterion to contraindicate non-surgical organ preservation treatment.
S22,statement,22,22,22,Radiotherapy and chemotherapy,4,IV,94.0,first,True,recommendation,True,1,"tlm, ophl_any","surgical_lp, larynx_preservation_any","For cT2N0 cancer of the larynx or hypopharynx that is unsuitable for transoral laser microsurgery and open partial horizontal laryngectomy, radiotherapy is an adequate treatment option."
S23R,statement,23,23,23,Radiotherapy and chemotherapy,4,IV,95.7,second,True,contextual_selection,True,1,rt_accelerated,"nonsurgical_lp, larynx_preservation_any","For cT2N0 laryngeal cancer treated with radiotherapy, accelerated or hyperfractionated radiotherapy might be favoured in the case of reduced cord mobility."
S24R,statement,24,24,24,Radiotherapy and chemotherapy,4,IV,88.3,second,True,relative_contraindication,True,1,ophl_any,"nonsurgical_lp, surgical_lp, larynx_preservation_any","High nodal burden (ie, cN2 or higher) is a relative contraindication for partial laryngectomy. Non-surgical treatment with a combination of chemotherapy and radiation should be preferred in these cases."
S25-S26R,statement,25–26,25,26,Radiotherapy and chemotherapy,4,IV,95.0,second,True,response_adapted,True,5,"concurrent_crt, ict_rt","nonsurgical_lp, larynx_preservation_any","In the case of non-T4 laryngeal cancer with nodal involvement for which a non-surgical treatment strategy is indicated, the choice of the treatment could vary between concurrent chemoradiation or induction chemotherapy followed by radiation in case of response. The following criteria should be considered for a tailored choice: burden of nodal disease, T category, foreseen acute and late toxicities of the two different regimens, patient’s functionality, and patient’s preference."
S27,statement,27,27,27,Radiotherapy and chemotherapy,4,IV,96.8,first,True,exception,True,1,concurrent_crt,"nonsurgical_lp, larynx_preservation_any",Involvement of the inner cortex of thyroid cartilage is not a contraindication to chemoradiation in cT3 glottic cancers.
S28,statement,28,28,28,Radiotherapy and chemotherapy,4,IV,92.2,first,True,contextual_selection,True,1,concurrent_crt,"larynx_preservation_any, nonsurgical_lp","For cT3 cancers, concomitant chemoradiation yields the highest laryngeal preservation rate among non-surgical strategies."
S29R,statement,29,29,29,Radiotherapy and chemotherapy,4,IV,81.7,first,True,contextual_selection,True,1,"total_laryngectomy, concurrent_crt, ict_rt","nonsurgical_lp, larynx_preservation_any",Concomitant chemoradiation for cT3 laryngeal cancer has been associated with increased non-cancer-related mortality in the long term when compared with other therapeutic strategies such as total laryngectomy and induction chemotherapy-based treatment.
S30,statement,30,30,30,Radiotherapy and chemotherapy,4,I,95.2,first,True,contextual_selection,True,1,"ict_rt, nonsurgical_lp","larynx_preservation_any, nonsurgical_lp",Induction chemotherapy could be used to select patients for organ preservation protocols in cT3 laryngeal and hypopharyngeal cancer.
S31R,statement,31,31,31,Radiotherapy and chemotherapy,4,III,95.0,second,True,response_adapted,True,1,"concurrent_crt, ict_rt, rt_alone","nonsurgical_lp, larynx_preservation_any","In the case of complete response and normal vocal cord mobilisation after induction chemotherapy in laryngeal or hypopharyngeal cancer, the subsequent treatment should be radiotherapy alone (ie, not concomitant chemoradiotherapy)."
S32,statement,32,32,32,Radiotherapy and chemotherapy,4,V,88.7,first,True,contextual_selection,True,1,"ophl_any, ict_rt","larynx_preservation_any, surgical_lp, nonsurgical_lp","Induction chemotherapy before organ preservation surgery (eg, open partial horizontal laryngectomy) is not recommended outside of a clinical trial."
S33,statement,33,33,33,Radiotherapy and chemotherapy,4,II,92.7,first,True,contextual_selection,True,1,cetuximab_concurrent,"nonsurgical_lp, larynx_preservation_any","The addition of cetuximab to the docetaxel, cisplatin, and fluorouracil induction regimen is not recommended."
S34R,statement,34,34,34,Radiotherapy and chemotherapy,4,IV,97.0,first,True,contextual_selection,True,1,"concurrent_crt, ict_rt","nonsurgical_lp, larynx_preservation_any","For locally advanced laryngeal or hypopharyngeal carcinoma (stage IV) treated with concomitant chemoradiotherapy or induction chemotherapy followed up by radiotherapy, neck dissection should be performed in cases where residual disease is identified on evaluation with 18F-FDG-PET."
S35R,statement,35,35,35,Radiotherapy and chemotherapy,4,IV,86.7,second,True,contextual_selection,True,1,ophl_any,"surgical_lp, larynx_preservation_any","In patients with pT3N0 laryngeal cancer who have undergone open partial horizontal laryngectomy with negative margins and did not show risk factors such as perineural invasion and lymphovascular invasion, avoidance of adjuvant radiation therapy should be considered."
S36R,statement,36,36,36,Radiotherapy and chemotherapy,4,IV,93.3,second,True,recommendation,True,4,"tlm, concurrent_crt","surgical_lp, nonsurgical_lp, larynx_preservation_any","Adjuvant radiotherapy or chemoradiotherapy following transoral laser microsurgery for locally advanced laryngeal tumours might increase local control while mildly and slowly reducing functional outcomes. It can be considered in very selected cases: more than 1 nodal metastasis, perineural or lymphovascular invasion, and unintentionally positive or uncertain deep margins, unsuitable for redo surgery."
S37R,statement,37,37,37,Radiotherapy and chemotherapy,4,IV,96.9,first,True,contextual_selection,True,5,ict_rt,"nonsurgical_lp, larynx_preservation_any","When induction chemotherapy is administered, response to treatment should be defined considering the following elements: a change in symptoms, endoscopic appearance, contrast-enhanced morphological imaging (CT, MRI, or both) and, optionally, metabolic modification evaluated through 18F-FDG-PET."
S38R,statement,38,38,38,Indications for T4a cancer,5,III–IV,98.6,first,True,recommendation,True,1,total_laryngectomy,,The treatment of choice for cT4a laryngeal cancer with significant extralaryngeal or extensive subglottic involvement is total laryngectomy followed by adjuvant treatment (radiotherapy with or without chemotherapy).
S39R,statement,39,39,39,Indications for T4a cancer,5,III,100.0,second,True,absolute_contraindication,True,1,nonsurgical_lp,"larynx_preservation_any, nonsurgical_lp","In high-volume cT4a laryngeal SCC, significant extralaryngeal extension, substantial loss of laryngeal function at presentation, or both are contraindications to surgical and non-surgical organ preservation treatment. Non-surgical preservation can be considered only in patients who decline total laryngectomy provided that they are extensively informed about the inferior oncological outcome and the higher risk of toxic effects."
S40R,statement,40,40,40,Indications for T4a cancer,5,III–IV,93.8,first,True,contextual_selection,True,2,total_laryngectomy,"nonsurgical_lp, larynx_preservation_any","Overall, total laryngectomy with adjuvant treatment (radiotherapy with or without chemotherapy) confers longer survival, better functional outcomes, and better quality of life than non-surgical treatment in patients affected by unselected cT4a laryngeal SCC (LoE: III). However, equal outcomes are achievable through organ-preserving treatments in carefully selected patients with preserved laryngeal function and minimal anterior extra-laryngeal extension."
S41R,statement,41,41,41,Indications for T4a cancer,5,II,100.0,second,True,contextual_selection,True,1,,"larynx_preservation_any, nonsurgical_lp",Cartilage invasion through the outer cortex is associated with an increased risk of adverse events and poorer functional and survival outcomes in patients with laryngeal squamous cell carcinoma treated with non-surgical organ conservation protocols.
S42R,statement,42,42,42,Indications for T4a cancer,5,III,95.2,first,True,absolute_contraindication,True,1,total_laryngectomy,"nonsurgical_lp, larynx_preservation_any","In patients affected by cT4a laryngeal cancer and who are unfit for chemotherapy or with substantial airway obstruction, a need for pre-treatment tracheostomy, base of tongue infiltration, cricoid cartilage infiltration, full-thickness thyroid cartilage infiltration, or clinical evidence of a dysfunctional larynx, non-surgical treatment is associated with poorer survival compared with total laryngectomy followed by adjuvant treatment."
S43,statement,43,43,43,Indications for T4a cancer,5,IV,90.3,first,True,selection_factor,True,1,,"larynx_preservation_any, nonsurgical_lp","Non-surgical treatments result in lower rates of organ preservation and overall survival for hypopharyngeal cT4a cancers compared with cT4a laryngeal cancers, assuming that other variables remain unchanged."
S44R,statement,44,44,44,Indications for T4a cancer,5,IV,96.9,second,True,contextual_selection,True,1,,larynx_preservation_any,"Clinical data such as nutritional status, number and severity of unhealthy habits (eg, smoking and alcohol), performance status (eg, Eastern Cooperative Oncology Group performance scale), patient’s frailty, and social and family support should be taken into account when considering organ preservation treatments, particularly in patients affected by cT4a laryngeal cancer."
S45,statement,45,45,45,Indications for T4a cancer,5,IV,100.0,first,True,absolute_contraindication,True,1,tlm,"surgical_lp, larynx_preservation_any",cT4 laryngeal SCC represents an absolute contraindication to transoral laser microsurgery.
S46,statement,46,46,46,Indications for T4a cancer,5,IV,87.5,first,True,contextual_selection,True,1,ophl_any,"surgical_lp, larynx_preservation_any","In fit patients with cT4aN0 or cT4aN1 glottic SCC with minimal anterior extra-laryngeal extension and no extension posterior to the magic plane, open partial horizontal laryngectomy with neck dissection is a potential option."
S48,statement,48,48,48,Indications for T4a cancer,5,IV,91.9,first,True,contextual_selection,True,1,"ophl_any, concurrent_crt","surgical_lp, nonsurgical_lp, larynx_preservation_any","Adding adjuvant treatment (radiotherapy or chemoradiation) after open partial horizontal laryngectomy reduces the functional outcomes, increasing the likelihood of requiring long-term or permanent tracheostomy or gastrostomy."
S49R,statement,49,49,49,Indications for T4a cancer,5,IV,93.5,second,True,contextual_selection,True,1,nonsurgical_lp,"larynx_preservation_any, nonsurgical_lp","There are very few indications for a non-surgical organ preservation approach in cT4a laryngeal tumour. These indications are minimal extralaryngeal extension, low-burden cartilage invasion, and a functional larynx."
S52R,statement,52,52,52,Indications for T4a cancer,5,I–II,94.1,second,True,contextual_selection,True,2,"cetuximab_concurrent, carboplatin_5fu","nonsurgical_lp, larynx_preservation_any","The most active concurrent chemotherapy to be used with radiation is cisplatin, up to a total dose of 300 mg/m 2. If the patient is not eligible for cisplatin (in any schedule), cetuximab (LoE: I), or carboplatin and fluorouracil (LoE: II) could be suggested as an alternative."
S53R,statement,53,53,53,Indications for T4a cancer,5,IV,89.4,second,True,recommendation,True,1,rt_accelerated,"nonsurgical_lp, larynx_preservation_any","In cT4a laryngeal cancer treated through radiotherapy without concurrent chemotherapy, accelerated or hyperfractionated radiotherapy might be preferred after accounting for toxicity."
S55R,statement,55,55,55,Indications for T4a cancer,5,III,90.3,first,True,contextual_selection,True,1,"ict_rt, nonsurgical_lp","larynx_preservation_any, nonsurgical_lp","Patients affected by cT4a laryngeal or hypopharyngeal cancers that respond (ie, partial response >50% or complete response) to induction chemotherapy are eligible for non-surgical organ preservation treatment."
S47R,statement,47,47,47,Indications for T4a cancer,6,IV,61.4,second,False,recommendation,True,1,ophl_any,"surgical_lp, larynx_preservation_any","In patients who received margin-negative open partial horizontal laryngectomy for a pT4aN0 laryngeal cancer with T category exclusively determined by minimal anterior extralaryngeal extension and no perineural or lymphovascular invasion, avoidance of adjuvant radiotherapy with strict endoscopic and radiological follow-up can be considered."
S50,statement,50,50,50,Indications for T4a cancer,6,V,67.2,first,False,recommendation,True,1,"concurrent_crt, ict_rt","nonsurgical_lp, larynx_preservation_any","For a cT4a larynx cancer for which non-surgical treatment is indicated, concurrent chemoradiation should be performed over induction chemotherapy."
S51,statement,51,51,51,Indications for T4a cancer,6,IV,46.7,first,False,recommendation,True,1,"concurrent_crt, ict_rt","nonsurgical_lp, larynx_preservation_any","For a cT4a larynx cancer for which a non-surgical treatment strategy is adopted, induction chemotherapy followed up by radiation should be performed over concurrent chemoradiation."
S54,statement,54,54,54,Indications for T4a cancer,6,III,45.7,first,False,recommendation,True,1,,"nonsurgical_lp, larynx_preservation_any","For a cT4a larynx cancer for which non-surgical treatment is indicated, dose-escalation of radiotherapy is recommended."
S66,statement,66,66,66,Laryngeal function at baseline,6,V,66.2,first,False,contextual_selection,True,1,,larynx_preservation_any,"The pretreatment assessment of patients who are being considered for larynx-preservation treatment should include voice evaluation through a validated method (eg, Voice Handicap Index-10)."
S70,statement,70,70,70,Which comorbidities are contraindications and to what extent?,6,V,75.0,first,False,relative_contraindication,True,1,,,Two or more relative contraindications to cisplatin mean an absolute contraindication for cisplatin.
S82,statement,82,82,82,Organ preservation in older patients: selection criteria,6,IV,61.5,first,False,contextual_selection,True,1,"tlm, ophl_any, surgical_lp","surgical_lp, larynx_preservation_any","Post-operative radiotherapy should be performed in the same hospital where conservative laryngeal surgery (transoral laser microsurgery or open partial horizontal laryngectomy) took place, particularly for patients aged >65 years."
S95,statement,95,95,95,Post-treatment surveillance,6,IV,64.1,first,False,non_decisional,False,1,,,Early detection of a distant relapse on imaging does not lead to better overall survival in asymptomatic patients.
S97,statement,97,97,97,Post-treatment surveillance,6,IV,63.5,first,False,non_decisional,False,1,,,Scheduled referral of asymptomatic patients does not lead to better survival outcomes compared with a self-referral of symptomatic patients.
S117,statement,117,117,117,Prognostic and predictive factors,6,IV,67.2,first,False,response_adapted,True,1,"total_laryngectomy, ict_rt","nonsurgical_lp, larynx_preservation_any",Response to induction chemotherapy classified according to the change in tumour volume predicts laryngectomy-free survival better than bidimensional assessment.
S118,statement,118,118,118,Prognostic and predictive factors,6,III,77.4,first,False,contextual_selection,True,1,"total_laryngectomy, ict_rt","nonsurgical_lp, larynx_preservation_any",The choice between a conservative non-surgical approach vs total laryngectomy might be made also in a dynamic way by considering the early response after one cycle of induction chemotherapy.
SA6,additional_statement,6,6,6,Prognostic and predictive factors,6,II,67.2,second,False,response_adapted,True,1,"ict_rt, rt_alone","nonsurgical_lp, larynx_preservation_any","In patients with laryngeal cancer who have a partial response after induction chemotherapy, subsequent curative treatment should entail radiotherapy alone (without concomitant chemotherapy)."
S137,statement,137,137,137,Prehabilitation and rehabilitation,6,V,74.6,first,False,contextual_selection,True,1,ict_rt,"nonsurgical_lp, larynx_preservation_any","Induction chemotherapy in patients with laryngeal or hypopharyngeal cancer has the advantage of allowing them to start early prehabilitation (physical therapy, nutritional assessment and support, and psychological support). This strategy might lead to an improvement in functional capability that allows them to tolerate a curative radiation treatment."
S56,statement,56,56,56,Indications for salvage organ preservation surgery after radiotherapy or chemoradiotherapy failure,7,V,84.4,first,True,contextual_selection,True,1,concurrent_crt,"larynx_preservation_any, nonsurgical_lp","In the case of organ preservation salvage surgery after radiotherapy or chemoradiotherapy failure, functional swallowing should be preserved."
S57,statement,57,57,57,Indications for salvage organ preservation surgery after radiotherapy or chemoradiotherapy failure,7,IV,100.0,first,True,non_decisional,False,1,,,Any salvage surgical preservation strategy should aim at achieving negative margins.
S58R,statement,58,58,58,Indications for salvage organ preservation surgery after radiotherapy or chemoradiotherapy failure,7,V,93.8,first,True,non_decisional,False,1,,,Indications to salvage organ-preservation surgery should take into account the expected laryngeal function following tissue resection.
S59,statement,59,59,59,Indications for salvage organ preservation surgery after radiotherapy or chemoradiotherapy failure,7,IV,89.8,first,True,absolute_contraindication,True,1,tlm,"surgical_lp, larynx_preservation_any",Transoral laser microsurgery is contraindicated in rT3 laryngo-pharyngeal tumours due to lower local control and functional outcomes compared with open surgery.
S60R,statement,60,60,60,Indications for salvage organ preservation surgery after radiotherapy or chemoradiotherapy failure,7,IV,96.3,second,True,recommendation,True,1,"ophl_any, concurrent_crt","surgical_lp, nonsurgical_lp, larynx_preservation_any","In well selected patients affected by rT1–3 laryngeal cancer, open partial horizontal laryngectomy might be considered as salvage surgery after radiotherapy or chemoradiotherapy. Selection should include rigorous and objective swallowing assessment that excludes relevant pharyngo–laryngeal dysfunction."
S61R,statement,61,61,61,Indications for salvage organ preservation surgery after radiotherapy or chemoradiotherapy failure,7,IV,98.1,third,True,recommendation,True,1,tlm,"surgical_lp, larynx_preservation_any","In well selected patients affected by rT1–2 laryngeal cancer with no anterior commissure involvement extension, transoral laser microsurgery might be considered as salvage surgery after no response to radiotherapy."
S92R,statement,92,92,92,Post-treatment surveillance,7,V,95.1,second,True,non_decisional,False,1,,larynx_preservation_any,"Swallowing should be regularly assessed in patients who received a larynx-preservation treatment. Fiberoptic endoscopic evaluation of swallowing and videofluoroscopic swallowing study are both valuable methods to assess deglutition. Instrumental tests should be rated using validated tools (eg, Modified Barium Swallowing Study Tool, DIGEST, and DIGEST for Flexible Endoscopic Evaluation of Swallowing). The use of the same validated questionnaires used at baseline to collect patient-reported outcome measures is also suggested (eg, MD Anderson Dysphagia Inventory or Sydney Swallow Questionnaire). The timing of the assessment should mirror the timing of the clinical evaluation."
S93R,statement,93,93,93,Post-treatment surveillance,7,V,96.8,second,True,non_decisional,False,1,,larynx_preservation_any,"A speech and language therapist, phoniatrician or ear, nose, and throat doctor with phoniatrics expertise should ideally take part in the follow-up of patients who received a larynx-preservation treatment to periodically assess the voice outcome through validated methods (eg, Voice Handicap Index-10)."
S94R,statement,94,94,94,Post-treatment surveillance,7,III,98.5,first,True,non_decisional,False,1,,larynx_preservation_any,"Nutritional status should be regularly assessed in patients who received a larynx-preservation treatment. Weight, BMI, and food habits are the minimal nutritional aspects that need to be considered at each clinical evaluation in the follow-up."
S96R2,statement,96,96,96,Post-treatment surveillance,7,IV,98.5,third,True,non_decisional,False,1,,larynx_preservation_any,"There is currently no convincing evidence that an intensive follow-up in terms of clinical visits translates into better overall survival of patients treated with larynx-preservation strategies. However, close follow-up might allow for early detection of toxic effects, low-burden recurrent or metastatic disease, or psychosocial problems."
S98,statement,98,98,98,Post-treatment surveillance,7,V,89.2,first,True,non_decisional,False,1,,,"In comparison with a self-referral of patients who are symptomatic, scheduled referral of patients who are asymptomatic offers advantages such as enhanced identification and handling of late toxicity. It also allows for the comprehensive addressing of various quality-of-life issues spanning physical, functional, psychological, and psychosocial domains."
S99,statement,99,99,99,Post-treatment surveillance,7,IV,100.0,first,True,non_decisional,False,1,,larynx_preservation_any,Thyroid function should be monitored through measuring thyroid-stimulating hormone every 6 to 12 months in patients who received neck irradiation in the context of a larynx-preservation treatment.
S100R,statement,100,100,100,Post-treatment surveillance,7,V,92.4,first,True,non_decisional,False,1,,,"Clinical surveillance for larynx or hypopharynx cancer survivors should occur at least four times during the first year, at least three times during the second year, and at least twice from the third to the fifth year, personalising the schedule based on cancer stage and the patient’s symptoms."
S101,statement,101,101,101,Post-treatment surveillance,7,V,86.6,first,True,non_decisional,False,1,,,"A follow-up for up to 10 years is controversial, but it is generally recommended because of the potential late onset of recurrences, second tumours, therapy-related complications, depression, and anxiety."
S102,statement,102,102,102,Post-treatment surveillance,7,II,82.0,first,True,non_decisional,False,1,,larynx_preservation_any,"Neck imaging reporting and data systems should be adopted to guide imaging interpretation, timing, and selection of the appropriate modality during surveillance of patients who received a larynx-preservation treatment."
S103,statement,103,103,103,Post-treatment surveillance,7,V,100.0,first,True,non_decisional,False,1,,,All health-care providers should proactively encourage their patients to stop using tobacco products and advise against alcohol consumption at the time of referral and all throughout follow-up.
S104,statement,104,104,104,Post-treatment surveillance,7,I,91.3,first,True,non_decisional,False,1,,larynx_preservation_any,"Low-dose non-contrast-enhanced CT scan of the thorax should be incorporated in the long-term follow-up (ie, beyond five years) of patients with a history of 20 pack-years of smoking who received a larynx-preservation treatment, to reduce lung cancer-specific mortality."
S105,statement,105,105,105,Post-treatment surveillance,7,I,95.5,first,True,recommendation,True,1,,larynx_preservation_any,"In view of the peculiar oncological and functional implications of larynx-preservation treatment, a scheduled surveillance should be preferred over a symptom-based referral."
