rule_id,statement_id,section,page_hint,rule_class,direction,target_treatment,decision_scope,condition_text,level_of_evidence,consensus_pct,voting_round,meets_80pct_table_threshold
S3R#20,S3R,Investigations and general aspects,3,absolute_contraindication,negative,ophl_any,larynx_preservation_any,involvement of the posterior cricoarytenoid muscle and hypopharyngeal mucosa or submucosa calls for total laryngectomy with partial hypopharyngectomy if surgery is indicated,IV,97.5,first,True
S4R#1,S4R,Investigations and general aspects,3,contextual_selection,qualified,tlm,surgical_lp,Endoscopic evidence of impaired vocal cord mobility has a negative effect on local control with both radiotherapy and transoral laser microsurgery.,IV,97.5,first,True
S4R#2,S4R,Investigations and general aspects,3,contextual_selection,qualified,tlm,larynx_preservation_any,Endoscopic evidence of impaired vocal cord mobility has a negative effect on local control with both radiotherapy and transoral laser microsurgery.,IV,97.5,first,True
SA2#1,SA2,Investigations and general aspects,3,selection_factor,qualified,,,"Some unfavourable cT2 (eg, radiological invasion of intrinsic muscles, partially impaired vocal cord mobility, or bulky supraglottic component) laryngeal squamous cell carcinomas have outcomes that are more similar to cT3 tumours and might require more aggressive management than is normally given for cT2 tumours.",V,87.5,second,True
SA3#1,SA3,Investigations and general aspects,3,contextual_selection,qualified,,larynx_preservation_any,"Larynx-preservation treatment, whether unimodal or multimodal, should be preferably performed in centres with a high volume of patients with laryngeal squamous cell carcinomas.",IV,98.5,second,True
S5R#1,S5R,Transoral surgery,3,absolute_contraindication,negative,tlm,surgical_lp,"In transoral laser microsurgery, inadequate exposure is the primary factor preventing the achievement of negative margins. Exposure mostly depends on the patient’s anatomical characteristics, the surgeon’s expertise, and the availability of adequate equipment.",III,100.0,first,True
S5R#2,S5R,Transoral surgery,3,absolute_contraindication,negative,tlm,larynx_preservation_any,"In transoral laser microsurgery, inadequate exposure is the primary factor preventing the achievement of negative margins. Exposure mostly depends on the patient’s anatomical characteristics, the surgeon’s expertise, and the availability of adequate equipment.",III,100.0,first,True
S6R#1,S6R,Transoral surgery,3,exception,positive,tlm,surgical_lp,Older age (>70 years) alone is not a contraindication for transoral laser microsurgery in patients with T3 laryngeal cancer without severe neurological or respiratory comorbidities.,IV,92.2,first,True
S6R#2,S6R,Transoral surgery,3,exception,positive,tlm,larynx_preservation_any,Older age (>70 years) alone is not a contraindication for transoral laser microsurgery in patients with T3 laryngeal cancer without severe neurological or respiratory comorbidities.,IV,92.2,first,True
S7R#1,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,surgical_lp,posterior laryngeal involvement requiring bilateral arytenoid resection (LoE: V),IV-V,100.0,second,True
S7R#2,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,surgical_lp,inner cortical infiltration (even if focal) of the thyroid cartilage (LoE: IV),IV-V,100.0,second,True
S7R#3,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,surgical_lp,posterior paraglottic involvement (LoE: IV),IV-V,100.0,second,True
S7R#4,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,surgical_lp,anterior commissure involvement with difficult exposure (LoE: IV),IV-V,100.0,second,True
S7R#5,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,surgical_lp,extensive supraglottic tumours with massive infiltration of the pre-epiglottic space (LoE: V),IV-V,100.0,second,True
S7R#6,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,surgical_lp,and subglottic extension under 10 mm in the posterior part of the glottis (LoE: IV),IV-V,100.0,second,True
S7R#7,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,larynx_preservation_any,posterior laryngeal involvement requiring bilateral arytenoid resection (LoE: V),IV-V,100.0,second,True
S7R#8,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,larynx_preservation_any,inner cortical infiltration (even if focal) of the thyroid cartilage (LoE: IV),IV-V,100.0,second,True
S7R#9,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,larynx_preservation_any,posterior paraglottic involvement (LoE: IV),IV-V,100.0,second,True
S7R#10,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,larynx_preservation_any,anterior commissure involvement with difficult exposure (LoE: IV),IV-V,100.0,second,True
S7R#11,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,larynx_preservation_any,extensive supraglottic tumours with massive infiltration of the pre-epiglottic space (LoE: V),IV-V,100.0,second,True
S7R#12,S7R,Transoral surgery,3,absolute_contraindication,negative,tlm,larynx_preservation_any,and subglottic extension under 10 mm in the posterior part of the glottis (LoE: IV),IV-V,100.0,second,True
S8#1,S8,Transoral surgery,3,relative_contraindication,negative,tlm,surgical_lp,anterior commissure involvement with difficult exposure (LoE: IV),IV-V,95.7,first,True
S8#2,S8,Transoral surgery,3,relative_contraindication,negative,tlm,surgical_lp,focal cartilage infiltration of the thyroid cartilage (LoE: IV),IV-V,95.7,first,True
S8#3,S8,Transoral surgery,3,relative_contraindication,negative,tlm,surgical_lp,subglottic extension under 10 mm in the posterior part of the glottis (LoE: IV),IV-V,95.7,first,True
S8#4,S8,Transoral surgery,3,relative_contraindication,negative,tlm,surgical_lp,and extensive supraglottic tumours with massive infiltration of the pre-epiglottic space (LoE: V),IV-V,95.7,first,True
S8#5,S8,Transoral surgery,3,relative_contraindication,negative,tlm,larynx_preservation_any,anterior commissure involvement with difficult exposure (LoE: IV),IV-V,95.7,first,True
S8#6,S8,Transoral surgery,3,relative_contraindication,negative,tlm,larynx_preservation_any,focal cartilage infiltration of the thyroid cartilage (LoE: IV),IV-V,95.7,first,True
S8#7,S8,Transoral surgery,3,relative_contraindication,negative,tlm,larynx_preservation_any,subglottic extension under 10 mm in the posterior part of the glottis (LoE: IV),IV-V,95.7,first,True
S8#8,S8,Transoral surgery,3,relative_contraindication,negative,tlm,larynx_preservation_any,and extensive supraglottic tumours with massive infiltration of the pre-epiglottic space (LoE: V),IV-V,95.7,first,True
S9R#1,S9R,Transoral surgery,3,contextual_selection,qualified,tlm,larynx_preservation_any,"Thyroid cartilage erosion is a contraindication for transoral laser microsurgery in glottic cT3 lesions. In such cases, type II open partial horizontal laryngectomy or non-surgical organ preservation protocols are more appropriate options.",III,95.8,first,True
S9R#2,S9R,Transoral surgery,3,contextual_selection,qualified,tlm,nonsurgical_lp,"Thyroid cartilage erosion is a contraindication for transoral laser microsurgery in glottic cT3 lesions. In such cases, type II open partial horizontal laryngectomy or non-surgical organ preservation protocols are more appropriate options.",III,95.8,first,True
S9R#3,S9R,Transoral surgery,3,contextual_selection,qualified,tlm,surgical_lp,"Thyroid cartilage erosion is a contraindication for transoral laser microsurgery in glottic cT3 lesions. In such cases, type II open partial horizontal laryngectomy or non-surgical organ preservation protocols are more appropriate options.",III,95.8,first,True
S9R#4,S9R,Transoral surgery,3,contextual_selection,qualified,ophl_any,larynx_preservation_any,"Thyroid cartilage erosion is a contraindication for transoral laser microsurgery in glottic cT3 lesions. In such cases, type II open partial horizontal laryngectomy or non-surgical organ preservation protocols are more appropriate options.",III,95.8,first,True
S9R#5,S9R,Transoral surgery,3,contextual_selection,qualified,ophl_any,nonsurgical_lp,"Thyroid cartilage erosion is a contraindication for transoral laser microsurgery in glottic cT3 lesions. In such cases, type II open partial horizontal laryngectomy or non-surgical organ preservation protocols are more appropriate options.",III,95.8,first,True
S9R#6,S9R,Transoral surgery,3,contextual_selection,qualified,ophl_any,surgical_lp,"Thyroid cartilage erosion is a contraindication for transoral laser microsurgery in glottic cT3 lesions. In such cases, type II open partial horizontal laryngectomy or non-surgical organ preservation protocols are more appropriate options.",III,95.8,first,True
S9R#7,S9R,Transoral surgery,3,contextual_selection,qualified,nonsurgical_lp,larynx_preservation_any,"Thyroid cartilage erosion is a contraindication for transoral laser microsurgery in glottic cT3 lesions. In such cases, type II open partial horizontal laryngectomy or non-surgical organ preservation protocols are more appropriate options.",III,95.8,first,True
S9R#8,S9R,Transoral surgery,3,contextual_selection,qualified,nonsurgical_lp,nonsurgical_lp,"Thyroid cartilage erosion is a contraindication for transoral laser microsurgery in glottic cT3 lesions. In such cases, type II open partial horizontal laryngectomy or non-surgical organ preservation protocols are more appropriate options.",III,95.8,first,True
S9R#9,S9R,Transoral surgery,3,contextual_selection,qualified,nonsurgical_lp,surgical_lp,"Thyroid cartilage erosion is a contraindication for transoral laser microsurgery in glottic cT3 lesions. In such cases, type II open partial horizontal laryngectomy or non-surgical organ preservation protocols are more appropriate options.",III,95.8,first,True
S10R#1,S10R,Transoral surgery,3,contextual_selection,qualified,tlm,larynx_preservation_any,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#2,S10R,Transoral surgery,3,contextual_selection,qualified,tlm,nonsurgical_lp,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#3,S10R,Transoral surgery,3,contextual_selection,qualified,tlm,surgical_lp,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#4,S10R,Transoral surgery,3,contextual_selection,qualified,tors,larynx_preservation_any,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#5,S10R,Transoral surgery,3,contextual_selection,qualified,tors,nonsurgical_lp,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#6,S10R,Transoral surgery,3,contextual_selection,qualified,tors,surgical_lp,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#7,S10R,Transoral surgery,3,contextual_selection,qualified,ophl_any,larynx_preservation_any,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#8,S10R,Transoral surgery,3,contextual_selection,qualified,ophl_any,nonsurgical_lp,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#9,S10R,Transoral surgery,3,contextual_selection,qualified,ophl_any,surgical_lp,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#10,S10R,Transoral surgery,3,contextual_selection,qualified,nonsurgical_lp,larynx_preservation_any,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#11,S10R,Transoral surgery,3,contextual_selection,qualified,nonsurgical_lp,nonsurgical_lp,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S10R#12,S10R,Transoral surgery,3,contextual_selection,qualified,nonsurgical_lp,surgical_lp,"In supraglottic cT3 lesions, transoral laser microsurgery, and transoral robotic surgery are viable strategies in the case of limited invasion of the preepiglottic space (ie, not abutting the thyrohyoid membrane). Otherwise, type I (in the case of more pronounced pre-epiglottic space involvement) or IIB open partial horizontal laryngectomy (in patients with thyroid cartilage erosion) or non-surgical organ preservation protocols should be considered.",IV,100.0,second,True
S11#1,S11,Transoral surgery,3,contextual_selection,qualified,tlm,surgical_lp,"Multiple positive superficial margins, one or more positive deep margins, or both after transoral laser microsurgery necessitate additional treatment.",IV,98.4,first,True
S11#2,S11,Transoral surgery,3,contextual_selection,qualified,tlm,larynx_preservation_any,"Multiple positive superficial margins, one or more positive deep margins, or both after transoral laser microsurgery necessitate additional treatment.",IV,98.4,first,True
SA4R#1,SA4R,Transoral surgery,3,recommendation,positive,tlm,surgical_lp,"In the case of multiple positive superficial margins, one or more positive deep margins, or both following transoral laser microsurgery, redo surgery is the preferred option unless the areas at risk of bearing microscopic disease cannot be adequately and safely exposed or resected. For instance, when inner laryngeal perichondrium is the site of margin involvement, redo surgery cannot be performed with transoral laser microsurgery.",IV,92.7,third,True
SA4R#2,SA4R,Transoral surgery,3,recommendation,positive,tlm,larynx_preservation_any,"In the case of multiple positive superficial margins, one or more positive deep margins, or both following transoral laser microsurgery, redo surgery is the preferred option unless the areas at risk of bearing microscopic disease cannot be adequately and safely exposed or resected. For instance, when inner laryngeal perichondrium is the site of margin involvement, redo surgery cannot be performed with transoral laser microsurgery.",IV,92.7,third,True
S12#1,S12,Transoral surgery,3,contextual_selection,qualified,tlm,surgical_lp,Transoral laser microsurgery is not indicated as a first-line treatment in locally advanced hypopharyngeal cancer.,IV,96.7,first,True
S12#2,S12,Transoral surgery,3,contextual_selection,qualified,tlm,larynx_preservation_any,Transoral laser microsurgery is not indicated as a first-line treatment in locally advanced hypopharyngeal cancer.,IV,96.7,first,True
S13#1,S13,Open partial horizontal laryngectomy,4,contextual_selection,qualified,ophl_any,surgical_lp,The identification of suitable candidates for open partial horizontal laryngectomy should consider the baseline clinical factors and physiological stress that follows the surgical procedure. Good cardiopulmonary and neurological functions and a good performance status are necessary prerequisites.,IV,96.5,first,True
S13#2,S13,Open partial horizontal laryngectomy,4,contextual_selection,qualified,ophl_any,larynx_preservation_any,The identification of suitable candidates for open partial horizontal laryngectomy should consider the baseline clinical factors and physiological stress that follows the surgical procedure. Good cardiopulmonary and neurological functions and a good performance status are necessary prerequisites.,IV,96.5,first,True
S14#1,S14,Open partial horizontal laryngectomy,4,contextual_selection,qualified,ophl_any,surgical_lp,cT3 laryngeal cancers with involvement of the anterior compartments of the larynx can be treated with open partial horizontal laryngectomy type II with excellent oncological results even if there is focal invasion or the thyroid cartilage.,IV,89.4,first,True
S14#2,S14,Open partial horizontal laryngectomy,4,contextual_selection,qualified,ophl_any,larynx_preservation_any,cT3 laryngeal cancers with involvement of the anterior compartments of the larynx can be treated with open partial horizontal laryngectomy type II with excellent oncological results even if there is focal invasion or the thyroid cartilage.,IV,89.4,first,True
S15R#1,S15R,Open partial horizontal laryngectomy,4,absolute_contraindication,negative,ophl_any,surgical_lp,"cT3 laryngeal cancers that cross the magic plane (ie, the virtual paracoronal plane passing through the vocal process of the arytenoid and reaching the thyroid lamina perpendicularly) posteriorly with involvement of the posterior portion of the inferior paraglottic space or causing arytenoid fixation should not be treated with type I or type II open partial horizontal laryngectomy.",IV,97.8,second,True
S15R#2,S15R,Open partial horizontal laryngectomy,4,absolute_contraindication,negative,ophl_any,larynx_preservation_any,"cT3 laryngeal cancers that cross the magic plane (ie, the virtual paracoronal plane passing through the vocal process of the arytenoid and reaching the thyroid lamina perpendicularly) posteriorly with involvement of the posterior portion of the inferior paraglottic space or causing arytenoid fixation should not be treated with type I or type II open partial horizontal laryngectomy.",IV,97.8,second,True
S16R#1,S16R,Open partial horizontal laryngectomy,4,absolute_contraindication,negative,surgical_lp,surgical_lp,Posterior laryngeal involvement requiring bilateral arytenoid resection is an absolute contraindication to any type of conservative surgery,IV,98.0,first,True
S16R#2,S16R,Open partial horizontal laryngectomy,4,absolute_contraindication,negative,surgical_lp,larynx_preservation_any,Posterior laryngeal involvement requiring bilateral arytenoid resection is an absolute contraindication to any type of conservative surgery,IV,98.0,first,True
S17R#1,S17R,Open partial horizontal laryngectomy,4,absolute_contraindication,negative,ophl_any,surgical_lp,The following extensions are contraindications for type II open partial horizontal laryngectomy in cT3 laryngeal cancer: inferior laryngeal involvement extending over 10 mm in the subglottis and cricoarytenoid joint invasion.,IV,100.0,first,True
S17R#2,S17R,Open partial horizontal laryngectomy,4,absolute_contraindication,negative,ophl_any,larynx_preservation_any,The following extensions are contraindications for type II open partial horizontal laryngectomy in cT3 laryngeal cancer: inferior laryngeal involvement extending over 10 mm in the subglottis and cricoarytenoid joint invasion.,IV,100.0,first,True
S18R#1,S18R,Open partial horizontal laryngectomy,4,fallback_option,positive,ophl_any,surgical_lp,"In centres with great experience, selected patients affected by cT3 laryngeal cancer with anterior subglottic extension over 10 mm could be offered type III open partial horizontal laryngectomy with or without CAU resection, provided that the contralateral CAU is mobile and sensate.",IV,87.0,second,True
S18R#2,S18R,Open partial horizontal laryngectomy,4,fallback_option,positive,ophl_any,larynx_preservation_any,"In centres with great experience, selected patients affected by cT3 laryngeal cancer with anterior subglottic extension over 10 mm could be offered type III open partial horizontal laryngectomy with or without CAU resection, provided that the contralateral CAU is mobile and sensate.",IV,87.0,second,True
S19R#1,S19R,Radiotherapy and chemotherapy,4,relative_contraindication,negative,nonsurgical_lp,larynx_preservation_any,laryngeal penetration or aspiration,IV,95.2,second,True
S19R#2,S19R,Radiotherapy and chemotherapy,4,relative_contraindication,negative,nonsurgical_lp,larynx_preservation_any,or recurrent pneumonia. Relative contraindications are pretreatment tracheostomy or pretreatment feeding tube,IV,95.2,second,True
S19R#3,S19R,Radiotherapy and chemotherapy,4,relative_contraindication,negative,nonsurgical_lp,larynx_preservation_any,particularly regarding the recovery of laryngeal and oesophageal function,IV,95.2,second,True
S19R#4,S19R,Radiotherapy and chemotherapy,4,relative_contraindication,negative,nonsurgical_lp,nonsurgical_lp,laryngeal penetration or aspiration,IV,95.2,second,True
S19R#5,S19R,Radiotherapy and chemotherapy,4,relative_contraindication,negative,nonsurgical_lp,nonsurgical_lp,or recurrent pneumonia. Relative contraindications are pretreatment tracheostomy or pretreatment feeding tube,IV,95.2,second,True
S19R#6,S19R,Radiotherapy and chemotherapy,4,relative_contraindication,negative,nonsurgical_lp,nonsurgical_lp,particularly regarding the recovery of laryngeal and oesophageal function,IV,95.2,second,True
S20R#1,S20R,Radiotherapy and chemotherapy,4,relative_contraindication,negative,nonsurgical_lp,larynx_preservation_any,Significant subglottic extension and extensive involvement of the cricoid cartilage are relative contraindications for non-surgical organ preservation treatments.,IV,91.7,second,True
S20R#2,S20R,Radiotherapy and chemotherapy,4,relative_contraindication,negative,nonsurgical_lp,nonsurgical_lp,Significant subglottic extension and extensive involvement of the cricoid cartilage are relative contraindications for non-surgical organ preservation treatments.,IV,91.7,second,True
S21#1,S21,Radiotherapy and chemotherapy,4,exception,positive,nonsurgical_lp,larynx_preservation_any,Airway obstruction alone is not a sufficient criterion to contraindicate non-surgical organ preservation treatment.,V,88.7,first,True
S21#2,S21,Radiotherapy and chemotherapy,4,exception,positive,nonsurgical_lp,nonsurgical_lp,Airway obstruction alone is not a sufficient criterion to contraindicate non-surgical organ preservation treatment.,V,88.7,first,True
S22#1,S22,Radiotherapy and chemotherapy,4,recommendation,positive,tlm,surgical_lp,"For cT2N0 cancer of the larynx or hypopharynx that is unsuitable for transoral laser microsurgery and open partial horizontal laryngectomy, radiotherapy is an adequate treatment option.",IV,94.0,first,True
S22#2,S22,Radiotherapy and chemotherapy,4,recommendation,positive,tlm,larynx_preservation_any,"For cT2N0 cancer of the larynx or hypopharynx that is unsuitable for transoral laser microsurgery and open partial horizontal laryngectomy, radiotherapy is an adequate treatment option.",IV,94.0,first,True
S22#3,S22,Radiotherapy and chemotherapy,4,recommendation,positive,ophl_any,surgical_lp,"For cT2N0 cancer of the larynx or hypopharynx that is unsuitable for transoral laser microsurgery and open partial horizontal laryngectomy, radiotherapy is an adequate treatment option.",IV,94.0,first,True
S22#4,S22,Radiotherapy and chemotherapy,4,recommendation,positive,ophl_any,larynx_preservation_any,"For cT2N0 cancer of the larynx or hypopharynx that is unsuitable for transoral laser microsurgery and open partial horizontal laryngectomy, radiotherapy is an adequate treatment option.",IV,94.0,first,True
S23R#1,S23R,Radiotherapy and chemotherapy,4,contextual_selection,qualified,rt_accelerated,nonsurgical_lp,"For cT2N0 laryngeal cancer treated with radiotherapy, accelerated or hyperfractionated radiotherapy might be favoured in the case of reduced cord mobility.",IV,95.7,second,True
S23R#2,S23R,Radiotherapy and chemotherapy,4,contextual_selection,qualified,rt_accelerated,larynx_preservation_any,"For cT2N0 laryngeal cancer treated with radiotherapy, accelerated or hyperfractionated radiotherapy might be favoured in the case of reduced cord mobility.",IV,95.7,second,True
S24R#1,S24R,Radiotherapy and chemotherapy,4,relative_contraindication,negative,ophl_any,nonsurgical_lp,"High nodal burden (ie, cN2 or higher) is a relative contraindication for partial laryngectomy. Non-surgical treatment with a combination of chemotherapy and radiation should be preferred in these cases.",IV,88.3,second,True
S24R#2,S24R,Radiotherapy and chemotherapy,4,relative_contraindication,negative,ophl_any,surgical_lp,"High nodal burden (ie, cN2 or higher) is a relative contraindication for partial laryngectomy. Non-surgical treatment with a combination of chemotherapy and radiation should be preferred in these cases.",IV,88.3,second,True
